Date,Description,Amount,Category,Account Name,Transaction Type
30/11/2023,Doctor Visit,-1438,Food,Checking Account,Withdrawal
01/12/2023,Stock Investment,485,Utilities,Credit Card,Deposit
02/12/2023,Stock Investment,3895,Salary,Savings Account,Deposit
03/12/2023,Clothing Purchase,1354,Rent,Credit Card,Deposit
04/12/2023,Stock Investment,-1775,Transportation,Credit Card,Withdrawal
05/12/2023,Grocery Shopping,2893,Entertainment,Checking Account,Deposit
06/12/2023,Electricity Bill,-1041,Rent,Checking Account,Withdrawal
07/12/2023,Movies,3600,Transportation,Credit Card,Deposit
08/12/2023,Movies,2548,Shopping,Checking Account,Deposit
09/12/2023,Bus Fare,1067,Entertainment,Checking Account,Deposit
10/12/2023,Monthly Rent,-1185,Salary,Checking Account,Withdrawal
11/12/2023,Salary Payment,2754,Healthcare,Credit Card,Deposit
12/12/2023,Clothing Purchase,2642,Shopping,Checking Account,Deposit
13/12/2023,Bus Fare,3311,Rent,Credit Card,Deposit
14/12/2023,Monthly Rent,1120,Utilities,Checking Account,Deposit
15/12/2023,Doctor Visit,-1984,Food,Savings Account,Withdrawal
16/12/2023,Doctor Visit,-757,Healthcare,Checking Account,Withdrawal
17/12/2023,Salary Payment,205,Shopping,Checking Account,Deposit
18/12/2023,Stock Investment,524,Utilities,Credit Card,Deposit
19/12/2023,Grocery Shopping,-931,Utilities,Credit Card,Withdrawal
20/12/2023,Bus Fare,1444,Transportation,Checking Account,Deposit
21/12/2023,Bus Fare,565,Shopping,Savings Account,Deposit
22/12/2023,Clothing Purchase,3864,Salary,Checking Account,Deposit
23/12/2023,Clothing Purchase,-940,Entertainment,Checking Account,Withdrawal
24/12/2023,Doctor Visit,327,Entertainment,Savings Account,Deposit
25/12/2023,Doctor Visit,1420,Rent,Credit Card,Deposit
26/12/2023,Electricity Bill,-1699,Rent,Checking Account,Withdrawal
27/12/2023,Electricity Bill,2276,Entertainment,Credit Card,Deposit
28/12/2023,Stock Investment,-1394,Salary,Credit Card,Withdrawal
29/12/2023,Electricity Bill,1170,Food,Savings Account,Deposit
30/12/2023,Grocery Shopping,-1301,Investment,Savings Account,Withdrawal
31/12/2023,Grocery Shopping,3088,Food,Credit Card,Deposit
01/01/2024,Bus Fare,-861,Transportation,Checking Account,Withdrawal
02/01/2024,Movies,-1810,Investment,Credit Card,Withdrawal
03/01/2024,Grocery Shopping,300,Investment,Checking Account,Deposit
04/01/2024,Monthly Rent,-1020,Shopping,Checking Account,Withdrawal
05/01/2024,Doctor Visit,975,Salary,Savings Account,Deposit
06/01/2024,Clothing Purchase,-816,Salary,Checking Account,Withdrawal
07/01/2024,Electricity Bill,1327,Investment,Checking Account,Deposit
08/01/2024,Bus Fare,1394,Shopping,Credit Card,Deposit
09/01/2024,Salary Payment,-1873,Investment,Savings Account,Withdrawal
10/01/2024,Clothing Purchase,65,Healthcare,Checking Account,Deposit
11/01/2024,Monthly Rent,-184,Rent,Checking Account,Withdrawal
12/01/2024,Electricity Bill,3854,Rent,Savings Account,Deposit
13/01/2024,Monthly Rent,-1431,Food,Credit Card,Withdrawal
14/01/2024,Doctor Visit,3442,Transportation,Savings Account,Deposit
15/01/2024,Doctor Visit,-105,Rent,Savings Account,Withdrawal
16/01/2024,Stock Investment,733,Utilities,Checking Account,Deposit
17/01/2024,Bus Fare,1863,Food,Checking Account,Deposit
18/01/2024,Clothing Purchase,2721,Rent,Credit Card,Deposit
19/01/2024,Clothing Purchase,2014,Transportation,Checking Account,Deposit
20/01/2024,Salary Payment,901,Salary,Checking Account,Deposit
21/01/2024,Bus Fare,-314,Salary,Savings Account,Withdrawal
22/01/2024,Monthly Rent,1009,Investment,Checking Account,Deposit
23/01/2024,Salary Payment,-1846,Healthcare,Credit Card,Withdrawal
24/01/2024,Movies,537,Salary,Savings Account,Deposit
25/01/2024,Clothing Purchase,-591,Shopping,Credit Card,Withdrawal
26/01/2024,Monthly Rent,2057,Rent,Savings Account,Deposit
27/01/2024,Grocery Shopping,-1216,Shopping,Checking Account,Withdrawal
28/01/2024,Stock Investment,1175,Transportation,Savings Account,Deposit
29/01/2024,Bus Fare,2341,Salary,Savings Account,Deposit
30/01/2024,Doctor Visit,3596,Healthcare,Checking Account,Deposit
31/01/2024,Grocery Shopping,3801,Transportation,Checking Account,Deposit
01/02/2024,Stock Investment,806,Utilities,Credit Card,Deposit
02/02/2024,Stock Investment,-1463,Utilities,Credit Card,Withdrawal
03/02/2024,Movies,3986,Shopping,Checking Account,Deposit
04/02/2024,Movies,-159,Investment,Checking Account,Withdrawal
05/02/2024,Electricity Bill,3016,Food,Checking Account,Deposit
06/02/2024,Electricity Bill,455,Investment,Savings Account,Deposit
07/02/2024,Salary Payment,-1476,Investment,Savings Account,Withdrawal
08/02/2024,Stock Investment,3625,Healthcare,Savings Account,Deposit
09/02/2024,Grocery Shopping,950,Salary,Checking Account,Deposit
10/02/2024,Bus Fare,2131,Healthcare,Credit Card,Deposit
11/02/2024,Stock Investment,2780,Transportation,Checking Account,Deposit
12/02/2024,Movies,2115,Utilities,Savings Account,Deposit
13/02/2024,Monthly Rent,368,Healthcare,Savings Account,Deposit
14/02/2024,Doctor Visit,1847,Transportation,Checking Account,Deposit
15/02/2024,Electricity Bill,2495,Healthcare,Checking Account,Deposit
16/02/2024,Clothing Purchase,701,Investment,Savings Account,Deposit
17/02/2024,Monthly Rent,-1029,Rent,Savings Account,Withdrawal
18/02/2024,Bus Fare,-834,Shopping,Savings Account,Withdrawal
19/02/2024,Movies,3211,Food,Checking Account,Deposit
20/02/2024,Movies,2929,Healthcare,Savings Account,Deposit
21/02/2024,Movies,3919,Food,Savings Account,Deposit
22/02/2024,Clothing Purchase,774,Entertainment,Credit Card,Deposit
23/02/2024,Electricity Bill,-18,Healthcare,Checking Account,Withdrawal
24/02/2024,Monthly Rent,-1147,Rent,Credit Card,Withdrawal
25/02/2024,Bus Fare,2146,Food,Credit Card,Deposit
26/02/2024,Electricity Bill,1736,Healthcare,Savings Account,Deposit
27/02/2024,Bus Fare,1769,Salary,Checking Account,Deposit
28/02/2024,Electricity Bill,-1426,Shopping,Savings Account,Withdrawal
29/02/2024,Clothing Purchase,1261,Rent,Checking Account,Deposit
01/03/2024,Doctor Visit,-852,Food,Credit Card,Withdrawal
02/03/2024,Bus Fare,-285,Rent,Checking Account,Withdrawal
03/03/2024,Electricity Bill,2777,Transportation,Savings Account,Deposit
04/03/2024,Movies,2933,Shopping,Savings Account,Deposit
05/03/2024,Stock Investment,1854,Healthcare,Savings Account,Deposit
06/03/2024,Movies,3173,Healthcare,Checking Account,Deposit
07/03/2024,Salary Payment,491,Healthcare,Credit Card,Deposit
08/03/2024,Doctor Visit,660,Shopping,Credit Card,Deposit
09/03/2024,Doctor Visit,1124,Salary,Checking Account,Deposit
10/03/2024,Movies,3691,Entertainment,Savings Account,Deposit
11/03/2024,Monthly Rent,1051,Utilities,Credit Card,Deposit
12/03/2024,Clothing Purchase,-1996,Investment,Savings Account,Withdrawal
13/03/2024,Bus Fare,3222,Food,Checking Account,Deposit
14/03/2024,Doctor Visit,3315,Salary,Savings Account,Deposit
15/03/2024,Movies,2869,Food,Credit Card,Deposit
16/03/2024,Movies,-1124,Healthcare,Credit Card,Withdrawal
17/03/2024,Clothing Purchase,-1009,Rent,Savings Account,Withdrawal
18/03/2024,Clothing Purchase,2142,Food,Checking Account,Deposit
19/03/2024,Grocery Shopping,2364,Healthcare,Savings Account,Deposit
20/03/2024,Grocery Shopping,2465,Food,Checking Account,Deposit
21/03/2024,Monthly Rent,-1365,Rent,Savings Account,Withdrawal
22/03/2024,Monthly Rent,3225,Healthcare,Credit Card,Deposit
23/03/2024,Salary Payment,-307,Entertainment,Checking Account,Withdrawal
24/03/2024,Monthly Rent,-318,Salary,Checking Account,Withdrawal
25/03/2024,Electricity Bill,2752,Transportation,Checking Account,Deposit
26/03/2024,Clothing Purchase,-1881,Investment,Credit Card,Withdrawal
27/03/2024,Electricity Bill,-1170,Shopping,Savings Account,Withdrawal
28/03/2024,Bus Fare,3906,Investment,Credit Card,Deposit
29/03/2024,Movies,1675,Investment,Checking Account,Deposit
30/03/2024,Monthly Rent,3177,Healthcare,Savings Account,Deposit
31/03/2024,Movies,-631,Entertainment,Credit Card,Withdrawal
01/04/2024,Doctor Visit,-1260,Transportation,Checking Account,Withdrawal
02/04/2024,Salary Payment,-1884,Salary,Checking Account,Withdrawal
03/04/2024,Doctor Visit,3949,Salary,Credit Card,Deposit
04/04/2024,Salary Payment,838,Rent,Credit Card,Deposit
05/04/2024,Grocery Shopping,-850,Shopping,Credit Card,Withdrawal
06/04/2024,Movies,-69,Food,Checking Account,Withdrawal
07/04/2024,Salary Payment,-988,Entertainment,Credit Card,Withdrawal
08/04/2024,Stock Investment,-336,Food,Checking Account,Withdrawal
09/04/2024,Electricity Bill,-919,Transportation,Credit Card,Withdrawal
10/04/2024,Salary Payment,2729,Investment,Checking Account,Deposit
11/04/2024,Salary Payment,-1488,Salary,Checking Account,Withdrawal
12/04/2024,Electricity Bill,849,Transportation,Savings Account,Deposit
13/04/2024,Movies,3215,Investment,Credit Card,Deposit
14/04/2024,Movies,3237,Salary,Credit Card,Deposit
15/04/2024,Electricity Bill,-1441,Investment,Checking Account,Withdrawal
16/04/2024,Doctor Visit,1672,Shopping,Checking Account,Deposit
17/04/2024,Stock Investment,2583,Entertainment,Checking Account,Deposit
18/04/2024,Bus Fare,2992,Transportation,Savings Account,Deposit
19/04/2024,Stock Investment,1343,Transportation,Savings Account,Deposit
20/04/2024,Movies,3308,Utilities,Checking Account,Deposit
21/04/2024,Grocery Shopping,2070,Healthcare,Credit Card,Deposit
22/04/2024,Monthly Rent,2799,Shopping,Credit Card,Deposit
23/04/2024,Salary Payment,-530,Shopping,Savings Account,Withdrawal
24/04/2024,Electricity Bill,-1420,Food,Savings Account,Withdrawal
25/04/2024,Electricity Bill,294,Investment,Checking Account,Deposit
26/04/2024,Salary Payment,1147,Healthcare,Credit Card,Deposit
27/04/2024,Monthly Rent,2249,Entertainment,Checking Account,Deposit
28/04/2024,Bus Fare,-321,Entertainment,Savings Account,Withdrawal
29/04/2024,Monthly Rent,1506,Shopping,Credit Card,Deposit
30/04/2024,Monthly Rent,3092,Entertainment,Credit Card,Deposit
01/05/2024,Monthly Rent,744,Utilities,Savings Account,Deposit
02/05/2024,Bus Fare,1356,Transportation,Checking Account,Deposit
03/05/2024,Bus Fare,2045,Rent,Checking Account,Deposit
04/05/2024,Movies,-757,Food,Credit Card,Withdrawal
05/05/2024,Salary Payment,3188,Investment,Savings Account,Deposit
06/05/2024,Bus Fare,1118,Investment,Credit Card,Deposit
07/05/2024,Bus Fare,3104,Salary,Savings Account,Deposit
08/05/2024,Movies,141,Rent,Checking Account,Deposit
09/05/2024,Electricity Bill,3869,Shopping,Savings Account,Deposit
10/05/2024,Movies,3053,Utilities,Checking Account,Deposit
11/05/2024,Doctor Visit,1059,Transportation,Savings Account,Deposit
12/05/2024,Doctor Visit,2548,Transportation,Credit Card,Deposit
13/05/2024,Grocery Shopping,3323,Utilities,Checking Account,Deposit
14/05/2024,Monthly Rent,959,Healthcare,Credit Card,Deposit
15/05/2024,Salary Payment,265,Salary,Credit Card,Deposit
16/05/2024,Clothing Purchase,479,Investment,Checking Account,Deposit
17/05/2024,Stock Investment,2646,Rent,Checking Account,Deposit
18/05/2024,Movies,-365,Entertainment,Credit Card,Withdrawal
19/05/2024,Electricity Bill,3408,Salary,Credit Card,Deposit
20/05/2024,Stock Investment,-243,Rent,Credit Card,Withdrawal
21/05/2024,Electricity Bill,2452,Food,Credit Card,Deposit
22/05/2024,Stock Investment,70,Food,Checking Account,Deposit
23/05/2024,Movies,3881,Salary,Checking Account,Deposit
24/05/2024,Clothing Purchase,3877,Shopping,Credit Card,Deposit
25/05/2024,Stock Investment,849,Rent,Savings Account,Deposit
26/05/2024,Movies,1251,Rent,Savings Account,Deposit
27/05/2024,Bus Fare,1730,Utilities,Checking Account,Deposit
28/05/2024,Clothing Purchase,489,Shopping,Credit Card,Deposit
29/05/2024,Electricity Bill,-369,Investment,Credit Card,Withdrawal
30/05/2024,Doctor Visit,816,Investment,Checking Account,Deposit
31/05/2024,Monthly Rent,-985,Entertainment,Savings Account,Withdrawal
01/06/2024,Doctor Visit,-652,Transportation,Savings Account,Withdrawal
02/06/2024,Clothing Purchase,2611,Food,Savings Account,Deposit
03/06/2024,Electricity Bill,1087,Investment,Checking Account,Deposit
04/06/2024,Stock Investment,839,Shopping,Savings Account,Deposit
05/06/2024,Electricity Bill,-1665,Rent,Checking Account,Withdrawal
06/06/2024,Stock Investment,3878,Investment,Checking Account,Deposit
07/06/2024,Movies,2592,Rent,Credit Card,Deposit
08/06/2024,Clothing Purchase,-1105,Investment,Savings Account,Withdrawal
09/06/2024,Movies,1546,Food,Checking Account,Deposit
10/06/2024,Grocery Shopping,-1149,Investment,Savings Account,Withdrawal
11/06/2024,Stock Investment,-313,Shopping,Savings Account,Withdrawal
12/06/2024,Bus Fare,-69,Investment,Credit Card,Withdrawal
13/06/2024,Movies,1746,Transportation,Savings Account,Deposit
14/06/2024,Grocery Shopping,427,Food,Credit Card,Deposit
15/06/2024,Salary Payment,-432,Shopping,Checking Account,Withdrawal
16/06/2024,Doctor Visit,2000,Utilities,Savings Account,Deposit
17/06/2024,Electricity Bill,3052,Shopping,Checking Account,Deposit
18/06/2024,Grocery Shopping,738,Transportation,Savings Account,Deposit
19/06/2024,Clothing Purchase,1498,Food,Checking Account,Deposit
20/06/2024,Movies,3732,Utilities,Savings Account,Deposit
21/06/2024,Clothing Purchase,3387,Transportation,Savings Account,Deposit
22/06/2024,Doctor Visit,3536,Transportation,Savings Account,Deposit
23/06/2024,Bus Fare,3287,Salary,Savings Account,Deposit
24/06/2024,Clothing Purchase,1913,Food,Savings Account,Deposit
25/06/2024,Stock Investment,-934,Shopping,Savings Account,Withdrawal
26/06/2024,Bus Fare,2380,Rent,Savings Account,Deposit
27/06/2024,Bus Fare,444,Rent,Savings Account,Deposit
28/06/2024,Grocery Shopping,2107,Shopping,Savings Account,Deposit
29/06/2024,Bus Fare,3726,Shopping,Checking Account,Deposit
30/06/2024,Monthly Rent,1373,Food,Credit Card,Deposit
01/07/2024,Doctor Visit,1969,Shopping,Savings Account,Deposit
02/07/2024,Bus Fare,546,Salary,Credit Card,Deposit
03/07/2024,Clothing Purchase,-1247,Utilities,Savings Account,Withdrawal
04/07/2024,Salary Payment,82,Shopping,Savings Account,Deposit
05/07/2024,Monthly Rent,774,Rent,Checking Account,Deposit
06/07/2024,Monthly Rent,896,Shopping,Checking Account,Deposit
07/07/2024,Stock Investment,2185,Salary,Credit Card,Deposit
08/07/2024,Bus Fare,-1225,Investment,Checking Account,Withdrawal
09/07/2024,Stock Investment,-375,Investment,Checking Account,Withdrawal
10/07/2024,Stock Investment,1069,Transportation,Credit Card,Deposit
11/07/2024,Salary Payment,-1583,Entertainment,Checking Account,Withdrawal
12/07/2024,Grocery Shopping,-1886,Utilities,Savings Account,Withdrawal
13/07/2024,Bus Fare,-1384,Healthcare,Credit Card,Withdrawal
14/07/2024,Movies,1974,Transportation,Credit Card,Deposit
15/07/2024,Stock Investment,1267,Investment,Savings Account,Deposit
16/07/2024,Doctor Visit,-1175,Rent,Checking Account,Withdrawal
17/07/2024,Electricity Bill,3745,Healthcare,Credit Card,Deposit
18/07/2024,Doctor Visit,-484,Transportation,Credit Card,Withdrawal
19/07/2024,Salary Payment,1146,Healthcare,Savings Account,Deposit
20/07/2024,Salary Payment,-1588,Food,Savings Account,Withdrawal
21/07/2024,Clothing Purchase,-1272,Entertainment,Checking Account,Withdrawal
22/07/2024,Grocery Shopping,1348,Food,Credit Card,Deposit
23/07/2024,Stock Investment,808,Healthcare,Checking Account,Deposit
24/07/2024,Doctor Visit,-1325,Food,Checking Account,Withdrawal
25/07/2024,Electricity Bill,1465,Salary,Savings Account,Deposit
26/07/2024,Salary Payment,3988,Investment,Credit Card,Deposit
27/07/2024,Salary Payment,504,Salary,Credit Card,Deposit
28/07/2024,Grocery Shopping,967,Shopping,Credit Card,Deposit
29/07/2024,Electricity Bill,786,Food,Savings Account,Deposit
30/07/2024,Electricity Bill,-878,Shopping,Savings Account,Withdrawal
31/07/2024,Grocery Shopping,2079,Rent,Savings Account,Deposit
01/08/2024,Salary Payment,-429,Utilities,Savings Account,Withdrawal
02/08/2024,Bus Fare,3073,Rent,Savings Account,Deposit
03/08/2024,Bus Fare,3104,Healthcare,Credit Card,Deposit
04/08/2024,Grocery Shopping,143,Investment,Checking Account,Deposit
05/08/2024,Electricity Bill,-313,Food,Credit Card,Withdrawal
06/08/2024,Stock Investment,2132,Transportation,Checking Account,Deposit
07/08/2024,Grocery Shopping,1851,Utilities,Savings Account,Deposit
08/08/2024,Grocery Shopping,1440,Entertainment,Checking Account,Deposit
09/08/2024,Monthly Rent,1766,Entertainment,Credit Card,Deposit
10/08/2024,Doctor Visit,3644,Entertainment,Credit Card,Deposit
11/08/2024,Electricity Bill,326,Food,Checking Account,Deposit
12/08/2024,Clothing Purchase,914,Entertainment,Savings Account,Deposit
13/08/2024,Clothing Purchase,2968,Salary,Savings Account,Deposit
14/08/2024,Electricity Bill,3917,Utilities,Credit Card,Deposit
15/08/2024,Monthly Rent,3392,Salary,Checking Account,Deposit
16/08/2024,Monthly Rent,1952,Utilities,Savings Account,Deposit
17/08/2024,Salary Payment,-1405,Salary,Savings Account,Withdrawal
18/08/2024,Doctor Visit,3999,Utilities,Credit Card,Deposit
19/08/2024,Bus Fare,-1272,Shopping,Savings Account,Withdrawal
20/08/2024,Movies,-635,Food,Checking Account,Withdrawal
21/08/2024,Movies,2492,Food,Credit Card,Deposit
22/08/2024,Movies,-1302,Entertainment,Credit Card,Withdrawal
23/08/2024,Electricity Bill,3731,Rent,Checking Account,Deposit
24/08/2024,Clothing Purchase,-1605,Entertainment,Credit Card,Withdrawal
25/08/2024,Clothing Purchase,2171,Healthcare,Savings Account,Deposit
26/08/2024,Bus Fare,2360,Salary,Savings Account,Deposit
27/08/2024,Electricity Bill,502,Utilities,Checking Account,Deposit
28/08/2024,Movies,-181,Rent,Savings Account,Withdrawal
29/08/2024,Stock Investment,-1283,Healthcare,Checking Account,Withdrawal
30/08/2024,Clothing Purchase,782,Food,Checking Account,Deposit
31/08/2024,Salary Payment,2946,Food,Savings Account,Deposit
01/09/2024,Grocery Shopping,1577,Entertainment,Checking Account,Deposit
02/09/2024,Stock Investment,3486,Salary,Savings Account,Deposit
03/09/2024,Clothing Purchase,-1857,Rent,Credit Card,Withdrawal
04/09/2024,Monthly Rent,2980,Investment,Credit Card,Deposit
05/09/2024,Clothing Purchase,1140,Healthcare,Checking Account,Deposit
06/09/2024,Salary Payment,2491,Healthcare,Savings Account,Deposit
07/09/2024,Movies,938,Entertainment,Savings Account,Deposit
08/09/2024,Monthly Rent,3588,Food,Credit Card,Deposit
09/09/2024,Electricity Bill,1636,Entertainment,Credit Card,Deposit
10/09/2024,Doctor Visit,1222,Utilities,Savings Account,Deposit
11/09/2024,Movies,-833,Rent,Checking Account,Withdrawal
12/09/2024,Doctor Visit,616,Salary,Credit Card,Deposit
13/09/2024,Stock Investment,-938,Shopping,Checking Account,Withdrawal
14/09/2024,Grocery Shopping,156,Transportation,Checking Account,Deposit
15/09/2024,Monthly Rent,3161,Transportation,Credit Card,Deposit
16/09/2024,Bus Fare,3305,Entertainment,Checking Account,Deposit
17/09/2024,Monthly Rent,982,Utilities,Checking Account,Deposit
18/09/2024,Clothing Purchase,1294,Rent,Savings Account,Deposit
19/09/2024,Clothing Purchase,2729,Investment,Checking Account,Deposit
20/09/2024,Clothing Purchase,-844,Transportation,Savings Account,Withdrawal
21/09/2024,Stock Investment,3334,Rent,Credit Card,Deposit
22/09/2024,Movies,-1268,Salary,Credit Card,Withdrawal
23/09/2024,Bus Fare,2330,Utilities,Savings Account,Deposit
24/09/2024,Bus Fare,2846,Food,Credit Card,Deposit
25/09/2024,Clothing Purchase,-1047,Rent,Checking Account,Withdrawal
26/09/2024,Doctor Visit,539,Salary,Checking Account,Deposit
27/09/2024,Stock Investment,1324,Investment,Checking Account,Deposit
28/09/2024,Clothing Purchase,1301,Shopping,Credit Card,Deposit
29/09/2024,Grocery Shopping,-458,Food,Checking Account,Withdrawal
30/09/2024,Movies,3293,Shopping,Credit Card,Deposit
01/10/2024,Electricity Bill,3772,Investment,Checking Account,Deposit
02/10/2024,Grocery Shopping,-809,Salary,Savings Account,Withdrawal
03/10/2024,Doctor Visit,3512,Transportation,Credit Card,Deposit
04/10/2024,Monthly Rent,993,Shopping,Credit Card,Deposit
05/10/2024,Monthly Rent,681,Food,Checking Account,Deposit
06/10/2024,Grocery Shopping,-783,Entertainment,Credit Card,Withdrawal
07/10/2024,Clothing Purchase,-460,Healthcare,Credit Card,Withdrawal
08/10/2024,Electricity Bill,1236,Rent,Savings Account,Deposit
09/10/2024,Salary Payment,3541,Transportation,Savings Account,Deposit
10/10/2024,Salary Payment,386,Shopping,Checking Account,Deposit
11/10/2024,Doctor Visit,1719,Rent,Savings Account,Deposit
12/10/2024,Clothing Purchase,3615,Entertainment,Checking Account,Deposit
13/10/2024,Bus Fare,-612,Investment,Checking Account,Withdrawal
14/10/2024,Bus Fare,-144,Healthcare,Checking Account,Withdrawal
15/10/2024,Movies,-635,Salary,Credit Card,Withdrawal
16/10/2024,Electricity Bill,-1501,Entertainment,Savings Account,Withdrawal
17/10/2024,Electricity Bill,-320,Entertainment,Checking Account,Withdrawal
18/10/2024,Monthly Rent,-1490,Investment,Savings Account,Withdrawal
19/10/2024,Stock Investment,2312,Utilities,Checking Account,Deposit
20/10/2024,Doctor Visit,-676,Investment,Savings Account,Withdrawal
21/10/2024,Salary Payment,-845,Utilities,Savings Account,Withdrawal
22/10/2024,Doctor Visit,-173,Utilities,Checking Account,Withdrawal
23/10/2024,Bus Fare,1141,Transportation,Credit Card,Deposit
24/10/2024,Bus Fare,1486,Transportation,Savings Account,Deposit
25/10/2024,Grocery Shopping,-190,Food,Credit Card,Withdrawal
26/10/2024,Movies,923,Shopping,Credit Card,Deposit
27/10/2024,Electricity Bill,3301,Shopping,Checking Account,Deposit
28/10/2024,Doctor Visit,214,Salary,Checking Account,Deposit
